Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,18370.000000,18500.000000,18272.300781,18409.349609,18287.226563,51752
2019-08-26,18687.000000,18923.000000,17929.150391,18781.150391,18656.560547,23442
2019-08-27,18802.500000,19599.449219,18800.000000,19066.800781,18940.316406,24935
2019-08-28,19066.800781,19499.250000,18959.050781,19110.199219,18983.427734,7427
2019-08-29,19110.199219,19210.949219,18400.000000,18520.000000,18397.142578,38054
2019-08-30,18570.000000,18614.949219,18279.000000,18573.800781,18450.587891,31940
2019-09-03,18579.000000,18579.000000,17630.300781,17810.400391,17692.250000,41193
2019-09-04,17826.000000,17848.099609,17285.699219,17711.150391,17593.660156,35965
2019-09-05,17791.849609,18039.900391,17466.000000,17602.750000,17485.978516,36486
2019-09-06,17650.599609,17960.000000,17507.949219,17870.500000,17751.951172,19786
2019-09-09,17870.500000,18250.000000,17616.000000,18068.400391,17948.539063,26145
2019-09-11,18198.949219,18573.099609,17921.400391,18490.349609,18367.689453,66945
2019-09-12,18562.300781,18645.050781,18327.550781,18582.050781,18458.783203,23415
2019-09-13,18600.000000,18951.000000,18469.349609,18798.449219,18673.744141,15363
2019-09-16,18700.000000,19037.849609,18573.550781,18897.050781,18771.691406,19422
2019-09-17,19065.000000,19065.000000,18457.050781,18693.449219,18569.441406,27802
2019-09-18,18932.199219,18932.199219,18518.500000,18687.199219,18563.234375,15362
2019-09-19,18700.000000,18700.000000,17780.000000,17927.099609,17808.175781,21848
2019-09-20,17975.000000,20490.000000,17717.099609,19250.099609,19122.398438,115041
2019-09-23,19385.050781,20326.000000,19385.050781,19918.300781,19786.167969,51273
2019-09-24,20000.000000,20201.000000,19601.000000,19931.000000,19798.783203,38944
2019-09-25,20145.000000,20145.000000,19175.400391,19457.400391,19328.324219,21188
2019-09-26,19399.000000,19653.199219,19269.150391,19365.000000,19236.539063,25103
2019-09-27,19486.050781,19486.050781,19200.000000,19325.199219,19197.000000,12894
2019-09-30,19200.000000,19243.000000,18802.000000,18888.150391,18762.851563,18688
2019-10-01,18915.150391,19130.449219,18350.000000,18593.750000,18470.404297,20868
2019-10-03,18400.000000,18643.949219,18127.650391,18259.599609,18138.470703,16230
2019-10-04,18375.699219,18391.500000,18004.550781,18128.300781,18008.041016,25842
2019-10-07,18240.000000,18240.000000,17727.000000,17826.300781,17708.046875,11866
2019-10-09,17937.699219,18539.349609,17733.300781,18482.750000,18360.140625,29201
2019-10-10,18350.000000,18549.650391,18116.000000,18268.750000,18147.560547,10771
2019-10-11,18382.949219,18570.000000,18311.000000,18374.550781,18252.658203,13627
2019-10-14,18400.000000,18822.099609,18351.099609,18695.599609,18571.578125,8088
2019-10-15,18750.000000,18860.949219,18511.050781,18584.750000,18461.462891,37879
2019-10-16,18699.900391,18775.000000,18501.000000,18595.849609,18472.490234,21922
2019-10-17,18650.000000,18699.949219,17750.000000,18190.349609,18069.681641,40037
2019-10-18,18304.000000,18795.900391,18220.099609,18679.750000,18555.833984,22362
2019-10-22,19400.000000,20312.449219,19258.250000,19515.599609,19386.138672,115473
2019-10-23,19629.800781,19987.849609,19461.000000,19764.949219,19633.833984,25321
2019-10-24,19888.500000,20449.000000,19791.900391,20305.000000,20170.300781,28488
2019-10-25,20280.000000,20458.900391,20025.000000,20130.750000,19997.208984,13730
2019-10-27,20399.000000,20399.000000,20000.800781,20193.400391,20059.441406,2434
